"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_728","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Prauserella","rugosa"
"ASV_729","Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina","Genus_Candidatus_Actinomarina"
"ASV_730","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetitomaculum","Genus_Acetitomaculum"
"ASV_731","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma","Genus_Anaeroplasma"
"ASV_732","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio","Genus_Enterovibrio"
"ASV_733","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix","Genus_Crocinitomix"
"ASV_734","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Genus_Pseudomonas"
"ASV_735","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnobacter","Genus_Limnobacter"
"ASV_736","","","","","Unclassified_ASV_736","Unclassified_ASV_736","Unclassified_ASV_736"
"ASV_737","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade","Genus_OM60(NOR5)_clade"
"ASV_738","Bacteria","Proteobacteria","Alphaproteobacteria","","Unclassified_ASV_738","Unclassified_ASV_738","Unclassified_ASV_738"
"ASV_739","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum","Genus_Cellulosilyticum"
"ASV_741","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rhodopirellula","Genus_Rhodopirellula"
"ASV_742","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Family_Planococcaceae","Family_Planococcaceae"
"ASV_743","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","Genus_Prevotella_7"
"ASV_744","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea","Genus_Galbitalea"
"ASV_745","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga","Genus_Hydrogenophaga"
"ASV_746","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Prochlorococcus_MIT9313","marinus"
"ASV_747","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Unclassified_ASV_747","Unclassified_ASV_747","Unclassified_ASV_747"
"ASV_748","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","Family_Cryomorphaceae","Family_Cryomorphaceae"
"ASV_749","Bacteria","Proteobacteria","","","Unclassified_ASV_749","Unclassified_ASV_749","Unclassified_ASV_749"
"ASV_750","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Fonticella","Genus_Fonticella"
"ASV_751","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","Genus_Altererythrobacter"
"ASV_752","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib","Genus_Clade_Ib"
"ASV_753","Bacteria","","","","Unclassified_ASV_753","Unclassified_ASV_753","Unclassified_ASV_753"
"ASV_754","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Cohaesibacter","Genus_Cohaesibacter"
"ASV_755","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Family_Alteromonadaceae","Family_Alteromonadaceae"
"ASV_756","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Unclassified_ASV_756","Unclassified_ASV_756","Unclassified_ASV_756"
"ASV_757","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans","Genus_Marinagarivorans"
"ASV_758","Bacteria","Proteobacteria","Deltaproteobacteria","","Unclassified_ASV_758","Unclassified_ASV_758","Unclassified_ASV_758"
"ASV_759","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia","Genus_Iamia"
"ASV_760","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Family_Microbacteriaceae","Family_Microbacteriaceae"
"ASV_761","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","OLB8","Genus_OLB8"
"ASV_762","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Family_Enterococcaceae","Family_Enterococcaceae"
"ASV_763","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Family_Bacillaceae","Family_Bacillaceae"
"ASV_764","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","Genus_Coxiella"
"ASV_765","Bacteria","Proteobacteria","","","Unclassified_ASV_765","Unclassified_ASV_765","Unclassified_ASV_765"
"ASV_766","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","Genus_Aestuariibacter"
"ASV_767","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified_ASV_767","Unclassified_ASV_767","Unclassified_ASV_767"
